=== NEW GATE (with early-exit) ===
Self-playing 100000 games with the heuristic solver…

  20000/100000  (570.3s)   
  20050/100000  (572.1s)   
  20100/100000  (573.5s)   
  20150/100000  (574.6s)   
  20200/100000  (575.5s)   
  20250/100000  (576.7s)   
  20300/100000  (578.0s)   
  20350/100000  (578.6s)   
  20400/100000  (579.4s)   
  20450/100000  (581.3s)   
  20500/100000  (582.3s)   
  20550/100000  (583.2s)   
  20600/100000  (584.7s)   
  20650/100000  (586.2s)   
  20700/100000  (587.0s)   
  20750/100000  (587.9s)   
  20800/100000  (589.3s)   
  20850/100000  (590.5s)   
  20900/100000  (591.0s)   
  20950/100000  (592.3s)   
  21000/100000  (593.5s)   
  21050/100000  (595.2s)   
  21100/100000  (597.5s)   
  21150/100000  (599.3s)   
  21200/100000  (601.2s)   
  21250/100000  (602.9s)   
  21300/100000  (604.2s)   
  21350/100000  (605.7s)   
  21400/100000  (606.8s)   
  21450/100000  (608.1s)   
  21500/100000  (608.9s)   
  21550/100000  (611.1s)   
  21600/100000  (611.8s)   
  21650/100000  (612.8s)   
  21700/100000  (613.3s)   
  21750/100000  (614.5s)   
  21800/100000  (615.0s)   
  21850/100000  (616.0s)   
  21900/100000  (616.9s)   
  21950/100000  (618.8s)   
  22000/100000  (620.4s)   
  22050/100000  (623.5s)   
  22100/100000  (625.7s)   
  22150/100000  (627.4s)   
  22200/100000  (630.0s)   
  22250/100000  (631.0s)   
  22300/100000  (633.1s)   
  22350/100000  (634.5s)   
  22400/100000  (636.6s)   
  22450/100000  (637.8s)   
  22500/100000  (639.0s)   
  22550/100000  (640.6s)   
  22600/100000  (641.9s)   
  22650/100000  (643.0s)   
  22700/100000  (644.2s)   
  22750/100000  (644.8s)   
  22800/100000  (645.8s)   
  22850/100000  (647.7s)   
  22900/100000  (648.7s)   
  22950/100000  (651.1s)   
  23000/100000  (652.2s)   
  23050/100000  (653.4s)   
  23100/100000  (654.8s)   
  23150/100000  (656.5s)   
  23200/100000  (657.4s)   
  23250/100000  (657.9s)   
  23300/100000  (658.6s)   
  23350/100000  (660.6s)   
  23400/100000  (661.8s)   
  23450/100000  (664.0s)   
  23500/100000  (664.9s)   
  23550/100000  (666.8s)   
  23600/100000  (668.3s)   
  23650/100000  (670.3s)   
  23700/100000  (673.0s)   
  23750/100000  (674.2s)   
  23800/100000  (674.9s)   
  23850/100000  (675.8s)   
  23900/100000  (676.9s)   
  23950/100000  (678.0s)   
  24000/100000  (679.1s)   
  24050/100000  (680.7s)   
  24100/100000  (681.3s)   
  24150/100000  (682.7s)   
  24200/100000  (683.8s)   
  24250/100000  (685.0s)   
  24300/100000  (686.2s)   
  24350/100000  (688.0s)   
  24400/100000  (689.7s)   
  24450/100000  (691.4s)   
  24500/100000  (692.2s)   
  24550/100000  (693.1s)   
  24600/100000  (695.2s)   
  24650/100000  (696.8s)   
  24700/100000  (697.6s)   
  24750/100000  (698.7s)   
  24800/100000  (699.9s)   
  24850/100000  (701.5s)   
  24900/100000  (702.4s)   
  24950/100000  (703.0s)   
  25000/100000  (705.0s)   
  25050/100000  (706.7s)   
  25100/100000  (709.5s)   
  25150/100000  (711.4s)   
  25200/100000  (713.0s)   
  25250/100000  (714.5s)   
  25300/100000  (716.4s)   
  25350/100000  (717.8s)   
  25400/100000  (720.6s)   
  25450/100000  (723.9s)   
  25500/100000  (726.4s)   
  25550/100000  (727.2s)   
  25600/100000  (728.5s)   
  25650/100000  (729.6s)   
  25700/100000  (731.4s)   
  25750/100000  (732.5s)   
  25800/100000  (734.0s)   
  25850/100000  (735.5s)   
  25900/100000  (736.2s)   
  25950/100000  (736.9s)   
  26000/100000  (737.8s)   
  26050/100000  (738.7s)   
  26100/100000  (739.9s)   
  26150/100000  (741.1s)   
  26200/100000  (742.7s)   
  26250/100000  (743.5s)   
  26300/100000  (745.2s)   
  26350/100000  (746.9s)   
  26400/100000  (748.3s)   
  26450/100000  (749.6s)   
  26500/100000  (750.8s)   
  26550/100000  (751.8s)   
  26600/100000  (753.4s)   
  26650/100000  (754.6s)   
  26700/100000  (756.4s)   
  26750/100000  (757.6s)   
  26800/100000  (758.7s)   
  26850/100000  (761.0s)   
  26900/100000  (762.1s)   
  26950/100000  (763.2s)   
  27000/100000  (764.3s)   
  27050/100000  (765.8s)   
  27100/100000  (767.8s)   
  27150/100000  (768.3s)   
  27200/100000  (769.6s)   
  27250/100000  (771.2s)   
  27300/100000  (773.1s)   
  27350/100000  (775.7s)   
  27400/100000  (777.4s)   
  27450/100000  (779.0s)   
  27500/100000  (781.3s)   
  27550/100000  (781.9s)   
  27600/100000  (782.8s)   
  27650/100000  (783.8s)   
  27700/100000  (784.7s)   
  27750/100000  (785.3s)   
  27800/100000  (787.9s)   
  27850/100000  (788.9s)   
  27900/100000  (789.8s)   
  27950/100000  (790.5s)   
  28000/100000  (793.5s)   
  28050/100000  (794.5s)   
  28100/100000  (795.6s)   
  28150/100000  (796.8s)   
  28200/100000  (798.7s)   
  28250/100000  (800.6s)   
  28300/100000  (801.5s)   
  28350/100000  (802.9s)   
  28400/100000  (804.3s)   
  28450/100000  (806.0s)   
  28500/100000  (806.9s)   
  28550/100000  (808.9s)   
  28600/100000  (810.7s)   
  28650/100000  (812.1s)   
  28700/100000  (813.3s)   
  28750/100000  (814.1s)   
  28800/100000  (815.2s)   
  28850/100000  (816.8s)   
  28900/100000  (818.2s)   
  28950/100000  (819.2s)   
  29000/100000  (819.9s)   
  29050/100000  (821.6s)   
  29100/100000  (823.0s)   
  29150/100000  (824.2s)   
  29200/100000  (824.8s)   
  29250/100000  (825.4s)   
  29300/100000  (826.4s)   
  29350/100000  (827.3s)   
  29400/100000  (828.5s)   
  29450/100000  (831.1s)   
  29500/100000  (831.7s)   
  29550/100000  (833.0s)   
  29600/100000  (833.9s)   
  29650/100000  (835.3s)   
  29700/100000  (836.0s)   
  29750/100000  (837.1s)   
  29800/100000  (838.6s)   
  29850/100000  (839.9s)   
  29900/100000  (842.0s)   
  29950/100000  (842.9s)   
  30000/100000  (843.4s)   
  30050/100000  (844.7s)   
  30100/100000  (846.1s)   
  30150/100000  (847.5s)   
  30200/100000  (848.1s)   
  30250/100000  (849.2s)   
  30300/100000  (850.6s)   
  30350/100000  (851.8s)   
  30400/100000  (853.0s)   
  30450/100000  (854.8s)   
  30500/100000  (856.0s)   
  30550/100000  (857.9s)   
  30600/100000  (859.7s)   
  30650/100000  (860.7s)   
  30700/100000  (862.1s)   
  30750/100000  (864.3s)   
  30800/100000  (866.1s)   
  30850/100000  (867.4s)   
  30900/100000  (868.4s)   
  30950/100000  (871.0s)   
  31000/100000  (871.9s)   
  31050/100000  (873.2s)   
  31100/100000  (876.4s)   
  31150/100000  (877.9s)   
  31200/100000  (879.3s)   
  31250/100000  (880.3s)   
  31300/100000  (882.1s)   
  31350/100000  (883.0s)   
  31400/100000  (884.2s)   
  31450/100000  (885.4s)   
  31500/100000  (886.3s)   
  31550/100000  (887.5s)   
  31600/100000  (890.0s)   
  31650/100000  (891.6s)   
  31700/100000  (893.1s)   
  31750/100000  (894.5s)   
  31800/100000  (896.4s)   
  31850/100000  (898.6s)   
  31900/100000  (900.6s)   
  31950/100000  (901.3s)   
  32000/100000  (902.1s)   
  32050/100000  (903.5s)   
  32100/100000  (904.3s)   
  32150/100000  (906.2s)   
  32200/100000  (907.0s)   
  32250/100000  (907.8s)   
  32300/100000  (909.4s)   
  32350/100000  (910.6s)   
  32400/100000  (911.6s)   
  32450/100000  (912.4s)   
  32500/100000  (913.8s)   
  32550/100000  (915.4s)   
  32600/100000  (916.9s)   
  32650/100000  (918.1s)   
  32700/100000  (918.7s)   
  32750/100000  (920.3s)   
  32800/100000  (921.8s)   
  32850/100000  (923.7s)   
  32900/100000  (925.2s)   
  32950/100000  (926.1s)   
  33000/100000  (927.8s)   
  33050/100000  (928.8s)   
  33100/100000  (929.9s)   
  33150/100000  (931.3s)   
  33200/100000  (932.5s)   
  33250/100000  (934.8s)   
  33300/100000  (936.9s)   
  33350/100000  (938.2s)   
  33400/100000  (939.9s)   
  33450/100000  (941.5s)   
  33500/100000  (943.5s)   
  33550/100000  (945.3s)   
  33600/100000  (946.5s)   
  33650/100000  (948.3s)   
  33700/100000  (949.8s)   
  33750/100000  (951.5s)   
  33800/100000  (952.8s)   
  33850/100000  (955.5s)   
  33900/100000  (956.1s)   
  33950/100000  (957.2s)   
  34000/100000  (958.4s)   
  34050/100000  (960.2s)   
  34100/100000  (960.9s)   
  34150/100000  (961.6s)   
  34200/100000  (962.6s)   
  34250/100000  (963.8s)   
  34300/100000  (964.8s)   
  34350/100000  (966.1s)   
  34400/100000  (967.0s)   
  34450/100000  (967.8s)   
  34500/100000  (969.0s)   
  34550/100000  (970.8s)   
  34600/100000  (971.8s)   
  34650/100000  (972.7s)   
  34700/100000  (973.6s)   
  34750/100000  (974.6s)   
  34800/100000  (976.4s)   
  34850/100000  (977.3s)   
  34900/100000  (978.7s)   
  34950/100000  (980.1s)   
  35000/100000  (981.2s)   
  35050/100000  (982.3s)   
  35100/100000  (983.2s)   
  35150/100000  (984.2s)   
  35200/100000  (986.5s)   
  35250/100000  (987.4s)   
  35300/100000  (989.1s)   
  35350/100000  (990.1s)   
  35400/100000  (991.2s)   
  35450/100000  (992.4s)   
  35500/100000  (993.9s)   
  35550/100000  (996.0s)   
  35600/100000  (998.2s)   
  35650/100000  (999.1s)   
  35700/100000  (1000.8s)   
  35750/100000  (1001.5s)   
  35800/100000  (1002.8s)   
  35850/100000  (1003.2s)   
  35900/100000  (1004.6s)   
  35950/100000  (1005.9s)   
  36000/100000  (1007.5s)   
  36050/100000  (1009.9s)   
  36100/100000  (1012.1s)   
  36150/100000  (1013.2s)   
  36200/100000  (1014.8s)   
  36250/100000  (1016.7s)   
  36300/100000  (1017.6s)   
  36350/100000  (1019.1s)   
  36400/100000  (1020.0s)   
  36450/100000  (1020.7s)   
  36500/100000  (1022.0s)   
  36550/100000  (1023.6s)   
  36600/100000  (1025.3s)   
  36650/100000  (1026.5s)   
  36700/100000  (1027.8s)   
  36750/100000  (1030.2s)   
  36800/100000  (1032.4s)   
  36850/100000  (1035.2s)   
  36900/100000  (1037.5s)   
  36950/100000  (1039.0s)   
  37000/100000  (1040.5s)   
  37050/100000  (1042.2s)   
  37100/100000  (1043.7s)   
  37150/100000  (1045.3s)   
  37200/100000  (1046.6s)   
  37250/100000  (1047.9s)   
  37300/100000  (1049.9s)   
  37350/100000  (1051.1s)   
  37400/100000  (1052.2s)   
  37450/100000  (1052.8s)   
  37500/100000  (1053.8s)   
  37550/100000  (1055.3s)   
  37600/100000  (1056.6s)   
  37650/100000  (1058.6s)   
  37700/100000  (1059.5s)   
  37750/100000  (1061.5s)   
  37800/100000  (1063.0s)   
  37850/100000  (1063.9s)   
  37900/100000  (1065.1s)   
  37950/100000  (1066.9s)   
  38000/100000  (1068.3s)   
  38050/100000  (1069.5s)   
  38100/100000  (1070.5s)   
  38150/100000  (1071.6s)   
  38200/100000  (1072.3s)   
  38250/100000  (1073.1s)   
  38300/100000  (1074.6s)   
  38350/100000  (1075.3s)   
  38400/100000  (1077.0s)   
  38450/100000  (1078.0s)   
  38500/100000  (1079.8s)   
  38550/100000  (1081.0s)   
  38600/100000  (1082.5s)   
  38650/100000  (1084.3s)   
  38700/100000  (1084.8s)   
  38750/100000  (1085.5s)   
  38800/100000  (1087.2s)   
  38850/100000  (1088.7s)   
  38900/100000  (1089.1s)   
  38950/100000  (1090.6s)   
  39000/100000  (1091.4s)   
  39050/100000  (1092.7s)   
  39100/100000  (1093.7s)   
  39150/100000  (1095.3s)   
  39200/100000  (1096.0s)   
  39250/100000  (1097.7s)   
  39300/100000  (1099.8s)   
  39350/100000  (1101.3s)   
  39400/100000  (1102.5s)   
  39450/100000  (1104.3s)   
  39500/100000  (1106.2s)   
  39550/100000  (1107.0s)   
  39600/100000  (1108.1s)   
  39650/100000  (1109.2s)   
  39700/100000  (1111.4s)   
  39750/100000  (1112.0s)   
  39800/100000  (1112.8s)   
  39850/100000  (1113.5s)   
  39900/100000  (1114.5s)   
  39950/100000  (1115.5s)   
  40000/100000  (1116.7s)   
  40050/100000  (1117.7s)   
  40100/100000  (1120.4s)   
  40150/100000  (1121.8s)   
  40200/100000  (1122.7s)   
  40250/100000  (1125.5s)   
  40300/100000  (1126.3s)   
  40350/100000  (1128.8s)   
  40400/100000  (1129.8s)   
  40450/100000  (1131.1s)   
  40500/100000  (1133.6s)   
  40550/100000  (1134.5s)   
  40600/100000  (1135.7s)   
  40650/100000  (1137.1s)   
  40700/100000  (1138.6s)   
  40750/100000  (1139.6s)   
  40800/100000  (1140.6s)   
  40850/100000  (1141.9s)   
  40900/100000  (1143.0s)   
  40950/100000  (1144.6s)   
  41000/100000  (1145.8s)   
  41050/100000  (1147.2s)   
  41100/100000  (1148.2s)   
  41150/100000  (1150.4s)   
  41200/100000  (1152.0s)   
  41250/100000  (1153.7s)   
  41300/100000  (1155.3s)   
  41350/100000  (1156.9s)   
  41400/100000  (1157.9s)   
  41450/100000  (1158.5s)   
  41500/100000  (1159.2s)   
  41550/100000  (1160.1s)   
  41600/100000  (1160.8s)   
  41650/100000  (1161.3s)   
  41700/100000  (1163.1s)   
  41750/100000  (1163.9s)   
  41800/100000  (1165.9s)   
  41850/100000  (1167.2s)   
  41900/100000  (1168.4s)   
  41950/100000  (1169.4s)   
  42000/100000  (1169.9s)   
  42050/100000  (1172.0s)   
  42100/100000  (1174.4s)   
  42150/100000  (1175.1s)   
  42200/100000  (1176.6s)   
  42250/100000  (1177.5s)   
  42300/100000  (1178.4s)   
  42350/100000  (1180.6s)   
  42400/100000  (1182.2s)   
  42450/100000  (1183.4s)   
